T_MeV,chi2B,chi2B_err_low,chi2B_err_high,svg_x,svg_y,svg_y_low,svg_y_high
129.99827359116023,0.02858355939130435,0.002751357913043484,0.0023539406086956483,522.5,318.007812,314.492188,321.015625
134.97064928176798,0.03601222826086956,0.002353939826086955,0.002353939826086962,545.0,327.5,324.492188,330.507812
139.9430249723757,0.047353940608695654,0.002353940608695655,0.002353939826086955,567.5,341.992188,338.984375,345.0
145.02762430939225,0.06419836956521739,0.002353940608695655,0.0023233695652173925,590.507812,363.515625,360.507812,366.484375
150.0,0.08608695652173913,0.0023233695652173925,0.00195652173913044,613.007812,391.484375,388.515625,393.984375
154.97237569060775,0.10996263626086956,0.0023539406086956483,0.002353939826086962,635.507812,421.992188,418.984375,425.0
159.94475138121547,0.13304347826086957,0.0027207884347826006,0.002353940608695676,658.007812,451.484375,448.007812,454.492188
165.02935093922653,0.15300611452173915,0.00195652173913044,0.0015591028695652043,681.015625,476.992188,474.492188,478.984375
170.00172662983425,0.16985054347826087,0.001192255043478252,0.001559102869565232,703.515625,498.515625,496.992188,500.507812
174.974102320442,0.18470788043478262,0.0011616847826086962,0.001559103652173932,726.015625,517.5,516.015625,519.492188
179.94647801104975,0.19800611452173916,0.0011616855652174518,0.0011922550434782242,748.515625,534.492188,533.007812,536.015625
185.02244486187845,0.20974524495652178,0.0011616855652174796,0.0011922550434782242,771.484375,549.492188,548.007812,551.015625
189.9948205524862,0.21992527173913043,0.0007948369565217439,0.0011616847826086962,793.984375,562.5,561.484375,563.984375
194.96719624309392,0.22931046234782615,0.0011616855652174796,0.0011922550434781964,816.484375,574.492188,573.007812,576.015625
199.93957193370167,0.23713654930434788,0.0007642666956522437,0.0011922550434781964,838.984375,584.492188,583.515625,586.015625
205.02417149171274,0.2441983695652174,0.0007948369565217439,0.0011616847826086962,861.992188,593.515625,592.5,595.0
209.99654718232046,0.25043478260869567,0.0007642666956522159,0.0007948369565217162,884.492188,601.484375,600.507812,602.5
214.9689228729282,0.25630434782608696,0.0007642666956522159,0.0007948369565217162,906.992188,608.984375,608.007812,610.0
219.94129856353595,0.26101222826086956,0.0007948369565217162,0.0011616847826086962,929.492188,615.0,613.984375,616.484375
225.0258979005525,0.26572010869565216,0.0007948369565217162,0.0007642666956522715,952.5,621.015625,620.0,621.992188
229.99827359116023,0.26963315217391304,0.0007948369565217162,0.0007642666956522159,975.0,626.015625,625.0,626.992188
234.97064928176798,0.2735461956521739,0.0007948369565217717,0.0007642666956522159,997.5,631.015625,630.0,631.992188
239.94302497237572,0.276664402173913,0.0003974180869564248,0.0007948369565217717,1020.0,635.0,634.492188,636.015625
245.02762430939228,0.2797826086956522,0.0007642666956522159,0.0003974188695652914,1043.007812,638.984375,638.007812,639.492188
250.00000000000003,0.2825339673913044,0.0007948369565217717,0.0003974180869564803,1065.507812,642.5,641.484375,643.007812
254.97237569060775,0.28488790721739127,0.0007948361739129606,0.00039741886956523587,1088.007812,645.507812,644.492188,646.015625
259.9447513812155,0.28684442895652174,0.0007948361739129606,0.0007642666956521604,1110.507812,648.007812,646.992188,648.984375
265.0293509392265,0.28880095069565215,0.0003974180869564803,0.00039741886956523587,1133.515625,650.507812,650.0,651.015625
270.00172662983425,0.2903600543478261,0.0003974180869564248,0.0007948369565217717,1156.015625,652.5,651.992188,653.515625
274.974102320442,0.29191915800000007,0.0003974188695652914,0.0007948361739129606,1178.515625,654.492188,653.984375,655.507812
279.94647801104975,0.29347826086956524,0.0003668478260869801,0.00039741886956523587,1201.015625,656.484375,656.015625,656.992188
285.02244486187845,0.2950679347826087,0.0007948369565217162,0.0003668478260869801,1223.984375,658.515625,657.5,658.984375
289.9948205524862,0.2962296195652174,0.0007948369565217162,0.0003974180869565358,1246.484375,660.0,658.984375,660.507812
294.9671962430939,0.29739130434782607,0.0007642666956521604,0.0003974188695652914,1268.984375,661.484375,660.507812,661.992188
299.9395719337017,0.29818614130434784,0.0003974180869564803,0.0007948369565217162,1291.484375,662.5,661.992188,663.515625
304.9119476243094,0.29934782608695654,0.0003668478260869801,0.0003974188695652914,1313.984375,663.984375,663.515625,664.492188
309.99654718232046,0.30014266304347825,0.0003974180869564248,0.0003974180869565358,1336.992188,665.0,664.492188,665.507812
314.96892287292815,0.3009375,0.00039741886956523587,0.0007642666956522159,1359.492188,666.015625,665.507812,666.992188
319.9412985635359,0.3020991847826087,0.0007948369565217717,0.0003974180869564803,1381.992188,667.5,666.484375,668.007812
324.91367425414364,0.3024966028695652,0.0003974180869564803,0.0007642666956522159,1404.492188,668.007812,667.5,668.984375
329.9982735911602,0.3032608695652174,0.0003668478260869801,0.0007948369565217162,1427.5,668.984375,668.515625,670.0
334.9706492817679,0.30405570652173913,0.0003974180869564803,0.0003974180869564803,1450.0,670.0,669.492188,670.507812
339.9430249723757,0.30485054347826085,0.0007948369565217162,0.0003668478260869801,1472.5,671.015625,670.0,671.484375
344.9154006629834,0.30521739130434783,0.0003668478260869801,0.0007948369565217162,1495.0,671.484375,671.015625,672.5
350.00000000000006,0.30601222826086955,0.0007948369565217162,0.0003974180869565358,1518.007812,672.5,671.484375,673.007812
354.9723756906078,0.3064096463478261,0.0003974180869565358,0.00039741886956523587,1540.507812,673.007812,672.5,673.515625
359.9447513812155,0.3068070652173913,0.00039741886956523587,0.0007642666956522159,1563.007812,673.515625,673.007812,674.492188
364.91712707182324,0.30757133191304353,0.0007642666956522159,0.0003974180869564803,1585.507812,674.492188,673.515625,675.0
370.00172662983425,0.30796875,0.0007948369565217717,0.0003974180869564803,1608.515625,675.0,673.984375,675.507812
374.97410232044206,0.3083661680869565,0.0007948361739129606,0.00039741886956523587,1631.015625,675.507812,674.492188,676.015625
379.94647801104975,0.30876358695652173,0.00039741886956523587,0.0003668478260869801,1653.515625,676.015625,675.507812,676.484375
384.9188537016575,0.3091304347826087,0.0003668478260869801,0.0003974188695652914,1676.015625,676.484375,676.015625,676.992188
389.9948205524862,0.309527853652174,0.0003974188695652914,0.0003974180869564248,1698.984375,676.992188,676.484375,677.5
394.96719624309395,0.3099252717391304,0.0003974180869564248,0.0003974180869565358,1721.484375,677.5,676.992188,678.007812
399.9395719337017,0.31032268982608696,0.0007948361739129606,0.00039741886956523587,1743.984375,678.007812,676.992188,678.515625
404.9119476243094,0.31032268982608696,0.0003974180869565358,0.00039741886956523587,1766.484375,678.007812,677.5,678.515625
409.9965471823204,0.3107201086956522,0.00039741886956523587,0.00036684782608692457,1789.492188,678.515625,678.007812,678.984375
414.96892287292815,0.3110869565217391,0.00036684782608692457,0.0003974188695652914,1811.992188,678.984375,678.515625,679.492188
419.9412985635359,0.3114843753913044,0.0007642666956522159,0.0003974180869564803,1834.492188,679.492188,678.515625,680.0
424.9136742541436,0.3114843753913044,0.0003974188695652914,0.0007948361739129606,1856.992188,679.492188,678.984375,680.507812
429.9982735911602,0.3118817934782609,0.0007948369565217717,0.0003974180869564803,1880.0,680.0,678.984375,680.507812
434.970649281768,0.3118817934782609,0.0003974180869564803,0.0007948369565217162,1902.5,680.0,679.492188,681.015625
439.9430249723757,0.3122792115652174,0.0007948361739129606,0.0007642666956522159,1925.0,680.507812,679.492188,681.484375
444.9154006629835,0.3126766304347826,0.0011922550434781964,0.0007642666956522159,1947.5,681.015625,679.492188,681.992188
450.0,0.3126766304347826,0.0007948369565217162,0.0011616847826086962,1970.507812,681.015625,680.0,682.5
