T_MeV,muB_MeV,P_over_T4,I_over_T4,s_over_T3,e_over_T4,nB_over_T3,CV_over_T3,cs2,phi_u,phi_d,phi_s,Phi,PhiBar,solve_residual,a1,a2,T0_MeV
50,0,0.0995476999997,-0.397222149104,0.000968650894704,-0.098579049105,0,0.0138954037047,0.0697101656987,-1.97643991654,-1.97643991654,-2.62516192843,0.00252195353271,0.00252195353271,6.87695030497e-16,-7.505272994,0.091848942829,175.695929622
52,0,0.085138185619,-0.339054219903,0.00149852257308,-0.0836396630459,0,0.0208428251635,0.0718963269773,-1.97643761614,-1.97643761614,-2.62516144147,0.00327066876685,0.00327066876685,1.07632505982e-15,-7.505272994,0.091848942829,175.695929622
54,0,0.0732738002239,-0.290850390354,0.00224481054148,-0.0710289896824,0,0.0303311475428,0.0740100762198,-1.97643388351,-1.97643388351,-2.62516064488,0.0041678569295,0.0041678569295,1.70226974334e-15,-7.505272994,0.091848942829,175.695929622
56,0,0.0634463876976,-0.250517294616,0.00326825617458,-0.0601781315231,0,0.0429753018378,0.0760496386252,-1.97642802266,-1.97642802266,-2.62515938302,0.0052289613562,0.0052289613562,1.67500673047e-15,-7.505272994,0.091848942829,175.695929622
58,0,0.0552662809008,-0.216425893839,0.00463922976377,-0.050627051137,0,0.0594670475216,0.0780134537887,-1.9764190856,-1.9764190856,-2.6251574405,0.00646958314,0.00646958314,1.48677825431e-15,-7.505272994,0.091848942829,175.695929622
60,0,0.0484325976563,-0.187292337141,0.00643805348427,-0.041994544172,0,0.0805762417207,0.0799001460825,-1.97640580971,-1.97640580971,-2.6251545257,0.00790549779845,0.00790549779845,6.64959117239e-16,-7.505272994,0.091848942829,175.695929622
62,0,0.0427117491513,-0.162091703463,0.00875529314286,-0.0339564560085,2.48238098844e-20,0.107152792971,0.0817084921454,-1.97638654616,-1.97638654616,-2.62515025111,0.0095526957841,0.0095526957841,1.92242996561e-15,-7.505272994,0.091848942829,175.695929622
64,0,0.0379217159996,-0.139994810308,0.0116920536902,-0.0262296623094,0,0.140129670988,0.0834373877267,-1.97635917872,-1.97635917872,-2.62514411044,0.0114274439309,0.0114274439309,1.70400593985e-15,-7.505272994,0.091848942829,175.695929622
66,0,0.0339204252922,-0.120321387554,0.0153603136152,-0.018560111677,0,0.180527311932,0.0850858158292,-1.97632103234,-1.97632103234,-2.62513545189,0.013546365315,0.013546365315,1.3406750278e-15,-7.505272994,0.091848942829,175.695929622
68,0,0.0305970779894,-0.102504979311,0.019883332646,-0.0107137453433,0,0.229459734405,0.0866528181843,-1.97626877057,-1.97626877057,-2.62512344735,0.0159265354192,0.0159265354192,1.22631230343e-15,-7.505272994,0.091848942829,175.695929622
70,0,0.0278656227262,-0.0860663247733,0.0253961661313,-0.00246945659482,0,0.288142666089,0.0881374718852,-1.97619828081,-1.97619828081,-2.62510705689,0.0185855928502,0.0185855928502,1.26992734086e-15,-7.505272994,0.091848942829,175.695929622
72,0,0.025659808238,-0.0705929144938,0.0320463184582,0.00638651022024,0,0.357903973434,0.0895388730971,-1.97610454601,-1.97610454601,-2.62508498808,0.0215418631192,0.0215418631192,8.6232612744e-16,-7.505272994,0.091848942829,175.695929622
74,0,0.0239294092633,-0.05572307007,0.039994566983,0.0160651577198,0,0.440196683479,0.090856129735,-1.97598150103,-1.97598150103,-2.62505564945,0.0248144941008,0.0248144941008,9.61970989788e-16,-7.505272994,0.091848942829,175.695929622
76,0,0.0226373341465,-0.0411333493284,0.0494159872576,0.0267786531111,0,0.536614882234,0.0920883652199,-1.97582187176,-1.97582187176,-2.62501709737,0.0284236016923,0.0284236016923,1.96507664853e-15,-7.505272994,0.091848942829,175.695929622
78,0,0.0217574021991,-0.0265283992105,0.0605012095861,0.038743807387,0,0.648912759619,0.0932347356239,-1.97561699418,-1.97561699418,-2.62496697531,0.0323904238371,0.0323904238371,1.69875169739e-15,-7.505272994,0.091848942829,175.695929622
80,0,0.0212726356354,-0.0116326067063,0.0734579358353,0.0521853001999,0,0.779027034658,0.0942944629227,-1.97535661069,-1.97535661069,-2.62490244463,0.036737480387,0.036737480387,2.25268455434e-15,-7.505272994,0.091848942829,175.695929622
82,0,0.0211739516526,0.00381693666573,0.0885127432762,0.0673387916236,0,0.929102919164,0.0952668875002,-1.9750286398,-1.9750286398,-2.62482010551,0.0414887351408,0.0414887351408,4.0969448746e-15,-7.505272994,0.091848942829,175.695929622
84,0,0.0214591696958,0.0200765194484,0.105913198232,0.0844540285357,0,1.10152363856,0.0961515436657,-1.97461891535,-1.97461891535,-2.62471590669,0.0466697546958,0.0466697546958,8.05125692871e-15,-7.505272994,0.091848942829,175.695929622
86,0,0.0221322703154,0.0374012137673,0.125930295029,0.103798024714,0,1.29894328973,0.0969482625027,-1.9741108904,-1.9741108904,-2.62458504241,0.0523078562955,0.0523078562955,1.78341415831e-14,-7.505272994,0.091848942829,175.695929622
88,0,0.0232028576256,0.0560497929539,0.148861223456,0.125658365831,0,1.52432242966,0.0976573069845,-1.97348530097,-1.97348530097,-2.62442183484,0.0584322334502,0.0584322334502,6.31137181116e-14,-7.505272994,0.091848942829,175.695929622
