T,muB,s
50.0,0.0,0.0007298830855201348
52.0,0.0,0.0011275917376757526
54.0,0.0,0.0016867214793584947
56.0,0.0,0.002452021431128529
58.0,0.0,0.0034750889416881926
60.0,0.0,0.004814505436913817
62.0,0.0,0.006535934125703852
64.0,0.0,0.00871220146848964
66.0,0.0,0.011423386018082059
68.0,0.0,0.01475704681675281
70.0,0.0,0.018807989503810588
72.0,0.0,0.02367906644088463
74.0,0.0,0.029481161647475704
76.0,0.0,0.036333711853735996
78.0,0.0,0.044365274246657434
80.0,0.0,0.0537142406387951
82.0,0.0,0.06452971767338482
84.0,0.0,0.07697259369359005
86.0,0.0,0.09121681405840934
88.0,0.0,0.10745088778853802
90.0,0.0,0.12587964916285782
92.0,0.0,0.14672629781859226
94.0,0.0,0.17023473938401934
96.0,0.0,0.19667224480656348
98.0,0.0,0.22633243900560826
100.0,0.0,0.2595386165705297
102.0,0.0,0.2966473615937871
104.0,0.0,0.33805241743045045
106.0,0.0,0.38418870673737393
108.0,0.0,0.4355363388010553
110.0,0.0,0.49262435675881644
112.0,0.0,0.55603387076988
114.0,0.0,0.626400098188375
116.0,0.0,0.7044127007917087
118.0,0.0,0.7908136985491651
120.0,0.0,0.8863921946989296
122.0,0.0,0.9919752342127213
124.0,0.0,1.1084144170381935
126.0,0.0,1.236568324693558
128.0,0.0,1.37728261433078
130.0,0.0,1.5313682706446254
132.0,0.0,1.6995833658286459
134.0,0.0,1.8826209444754243
136.0,0.0,2.0811075826617835
138.0,0.0,2.2956156190561168
140.0,0.0,2.526690312729041
142.0,0.0,2.774890834616401
144.0,0.0,3.0408414769133914
146.0,0.0,3.32528663058729
148.0,0.0,3.6291386446915617
150.0,0.0,3.953498147663776
152.0,0.0,4.299604011708999
154.0,0.0,4.668618973975264
156.0,0.0,5.061050084649083
158.0,0.0,5.475427861998706
160.0,0.0,5.9058029095882265
162.0,0.0,6.338577886179573
164.0,0.0,6.752531556179591
166.0,0.0,7.127259181095605
168.0,0.0,7.454306500307685
170.0,0.0,7.737917532401877
172.0,0.0,7.987630273008804
174.0,0.0,8.21259161296992
176.0,0.0,8.419763265976998
178.0,0.0,8.614017946878782
180.0,0.0,8.798679797035321
182.0,0.0,8.97601509224944
184.0,0.0,9.147584596644524
186.0,0.0,9.314478745135556
188.0,0.0,9.477471350879668
190.0,0.0,9.63712007550017
192.0,0.0,9.79383272027405
194.0,0.0,9.947911554342184
196.0,0.0,10.09958339944406
198.0,0.0,10.249020357664849
200.0,0.0,10.396354303760406
202.0,0.0,10.541687161380983
204.0,0.0,10.685098287911282
206.0,0.0,10.826649849564886
208.0,0.0,10.966390781879843
210.0,0.0,11.10435974290631
212.0,0.0,11.240587341457799
214.0,0.0,11.375097838588491
216.0,0.0,11.507910462927923
218.0,0.0,11.639040440701738
220.0,0.0,11.768499813378828
222.0,0.0,11.896298096120322
224.0,0.0,12.022442816032326
226.0,0.0,12.14693995895353
228.0,0.0,12.269794345993075
230.0,0.0,12.391009955476838
232.0,0.0,12.510590201829727
234.0,0.0,12.628538179824744
236.0,0.0,12.744856880306653
238.0,0.0,12.859549385987194
240.0,0.0,12.97261902460878
242.0,0.0,13.084069546894442
244.0,0.0,13.193905242324558
246.0,0.0,13.302131060921878
248.0,0.0,13.408752714325413
250.0,0.0,13.513776761192402
252.0,0.0,13.61721067725644
254.0,0.0,13.719062910364885
256.0,0.0,13.81934292086857
258.0,0.0,13.918061207827918
260.0,0.0,14.01522932161411
262.0,0.0,14.110859863608306
264.0,0.0,14.204966473827938
266.0,0.0,14.297563807424343
268.0,0.0,14.388667501095355
270.0,0.0,14.478294130536447
272.0,0.0,14.566461160107462
274.0,0.0,14.653186885923047
276.0,0.0,14.738490373577935
278.0,0.0,14.822391391699313
280.0,0.0,14.904910342476562
282.0,0.0,14.986068190259001
284.0,0.0,15.06588638923571
286.0,0.0,15.144386811124013
288.0,0.0,15.221591673697452
290.0,0.0,15.297523470882068
292.0,0.0,15.372204905047493
294.0,0.0,15.44565882201632
296.0,0.0,15.517908149216876
298.0,0.0,15.58897583731015
300.0,0.0,15.658884805533926
302.0,0.0,15.727657890927988
304.0,0.0,15.795317801531539
306.0,0.0,15.861887073581666
308.0,0.0,15.927388032686324
310.0,0.0,15.991842758899338
312.0,0.0,16.055273055586486
314.0,0.0,16.117700421940565
316.0,0.0,16.17914602897932
318.0,0.0,16.239630698842543
320.0,0.0,16.299174887191022
322.0,0.0,16.357798668503968
324.0,0.0,16.415521724065602
326.0,0.0,16.472363332434515
328.0,0.0,16.528342362188337
330.0,0.0,16.58347726674503
332.0,0.0,16.637786081065737
334.0,0.0,16.691286420055018
336.0,0.0,16.743995478481526
338.0,0.0,16.795930032253604
340.0,0.0,16.84710644089383
342.0,0.0,16.89754065106774
344.0,0.0,16.94724820103209
346.0,0.0,16.996244225878982
348.0,0.0,17.04454346346182
350.0,0.0,17.09216026089955
352.0,0.0,17.139108581564408
354.0,0.0,17.185402012467875
356.0,0.0,17.231053771967535
358.0,0.0,17.276076717725555
360.0,0.0,17.320483354857036
362.0,0.0,17.364285844212983
364.0,0.0,17.407496010748915
366.0,0.0,17.450125351936467
368.0,0.0,17.492185046179664
370.0,0.0,17.53368596120333
372.0,0.0,17.57463866238475
374.0,0.0,17.615053421004156
376.0,0.0,17.65494022239284
378.0,0.0,17.694308773961154
380.0,0.0,17.733168513091446
382.0,0.0,17.771528614883618
384.0,0.0,17.80939799974306
386.0,0.0,17.846785340803365
388.0,0.0,17.883699071177183
390.0,0.0,17.920147391030987
392.0,0.0,17.956138274480256
394.0,0.0,17.991679476303386
396.0,0.0,18.026778538473373
398.0,0.0,18.061442796507073
400.0,0.0,18.09567938563329
