T_MeV,sT3_target,sT3_pred,err,residual_over_err,phi_u,phi_d,phi_s,Phi,PhiBar,solve_residual
130,2.77,0.340653268252,0.295,-8.23507366694,-1.9573435478,-1.9573435478,-2.61927762649,0.0546614805414,0.0546614805414,4.09834874733e-16
135,3.13,0.48139522432,0.425,-6.2320112369,-1.94651446052,-1.94651446052,-2.61575497252,0.072130010915,0.072130010915,1.22948685548e-15
140,3.58,0.694020754318,0.485,-5.95047267151,-1.92888780589,-1.92888780589,-2.60994262136,0.096832814899,0.096832814899,7.12299291475e-16
145,4.11,1.04307198746,0.535,-5.73257572437,-1.89816442246,-1.89816442246,-2.59973068612,0.134325155959,0.134325155959,4.20087140135e-16
150,4.7,1.69119127188,0.59,-5.09967581037,-1.83823676171,-1.83823676171,-2.57984552888,0.196758504714,0.196758504714,8.58060587261e-16
155,5.34,2.90331757913,0.635,-3.83729515098,-1.71662263293,-1.71662263293,-2.54021951567,0.295292200528,0.295292200528,7.89199095023e-16
160,6,4.46198135091,0.67,-2.29555022252,-1.52461693805,-1.52461693805,-2.48018318738,0.39624714876,0.39624714876,3.45927697512e-15
165,6.66,6.00562536664,0.695,-0.941546235047,-1.26369108244,-1.26369108244,-2.40464184842,0.475427060994,0.475427060994,2.54189025607e-15
170,7.32,7.39749274516,0.705,0.109918787459,-0.93943235485,-0.93943235485,-2.3209597823,0.535183384429,0.535183384429,2.71088052186e-15
175,7.94,8.428395456,0.71,0.687880923937,-0.654157645638,-0.654157645638,-2.25212248178,0.577516128245,0.577516128245,8.85104108084e-12
180,8.53,9.14980143667,0.705,0.879150974007,-0.471780226813,-0.471780226813,-2.20143348145,0.608903094712,0.608903094712,7.41907693924e-14
185,9.08,9.71923298105,0.71,0.900328142328,-0.359419290425,-0.359419290425,-2.15782732136,0.634812351048,0.634812351048,4.91964901681e-15
190,9.6,10.2112914651,0.685,0.892396299471,-0.285671826399,-0.285671826399,-2.11532800847,0.657473239256,0.657473239256,1.78440726786e-14
195,10.07,10.6560088397,0.675,0.868161244033,-0.234092859045,-0.234092859045,-2.07154553226,0.67781536929,0.67781536929,1.29166834978e-14
200,10.5,11.0672657621,0.66,0.859493578962,-0.19616827346,-0.19616827346,-2.02546522267,0.696322315025,0.696322315025,3.91087916638e-14
205,10.9,11.4525693691,0.64,0.863389639236,-0.167189451152,-0.167189451152,-1.97662566141,0.713296802955,0.713296802955,2.59208555753e-15
210,11.27,11.8165099363,0.63,0.867476089406,-0.144371236979,-0.144371236979,-1.92482490245,0.728952496657,0.728952496657,5.75450580031e-14
215,11.61,12.162144044,0.61,0.90515417042,-0.125968893184,-0.125968893184,-1.8700068,0.743451619972,0.743451619972,3.86257260257e-14
220,11.92,12.4916242637,0.6,0.95270710609,-0.110836090398,-0.110836090398,-1.81221306557,0.756923060148,0.756923060148,3.61125386018e-14
225,12.21,12.8065224927,0.585,1.01969656878,-0.0981891730964,-0.0981891730964,-1.75156100165,0.769472345638,0.769472345638,5.97173322177e-15
230,12.49,13.1080151811,0.585,1.05643620695,-0.0874742449919,-0.0874742449919,-1.68823141615,0.781187767268,0.781187767268,1.07708406909e-13
235,12.75,13.3970001476,0.585,1.10598315825,-0.0782885654307,-0.0782885654307,-1.62246013471,0.79214444505,0.79214444505,2.4336496761e-13
240,13,13.6741763231,0.58,1.16237297079,-0.0703321236082,-0.0703321236082,-1.5545301407,0.802407187862,0.802407187862,1.64864337183e-14
245,13.24,13.9401014746,0.575,1.21756778197,-0.0633767335672,-0.0633767335672,-1.48476304504,0.81203258415,0.81203258415,2.96747611258e-13
250,13.47,14.1952355317,0.57,1.27234303814,-0.057245696709,-0.057245696709,-1.41350948532,0.821070570326,0.821070570326,8.1456399817e-13
255,13.68,14.4399735518,0.57,1.33328693294,-0.051800052936,-0.051800052936,-1.34113859485,0.829565626632,0.829565626632,2.90153347289e-13
260,13.89,14.674670602,0.575,1.36464452515,-0.0469290601096,-0.0469290601096,-1.26802701194,0.837557697966,0.837557697966,2.45876536019e-13
265,14.09,14.8996599912,0.575,1.40810433259,-0.0425434564257,-0.0425434564257,-1.19454806556,0.845082907228,0.845082907228,1.04411148503e-12
270,14.28,15.1152659204,0.57,1.46537880767,-0.0385705955166,-0.0385705955166,-1.12106179901,0.85217411058,0.85217411058,3.0868035709e-13
275,14.46,15.3218114887,0.57,1.5119499801,-0.034950867054,-0.034950867054,-1.04790640168,0.858861332239,0.858861332239,1.3703766991e-12
280,14.63,15.5196229602,0.57,1.5607420354,-0.0316350160308,-0.0316350160308,-0.97539144972,0.865172108052,0.865172108052,1.17254506017e-12
285,14.8,15.7090311687,0.57,1.59479152411,-0.0285821013428,-0.0285821013428,-0.903793149877,0.87113176076,0.87113176076,5.69849365716e-12
290,14.95,15.8903708885,0.565,1.66437325392,-0.0257579170297,-0.0257579170297,-0.833351579983,0.876763624715,0.876763624715,5.84074395419e-13
295,15.11,16.0639789052,0.56,1.70353375921,-0.0231337541575,-0.0231337541575,-0.764269754401,0.882089233482,0.882089233482,3.06921677055e-12
300,15.25,16.2301914,0.56,1.75034178567,-0.0206854178647,-0.0206854178647,-0.696714230365,0.887128480279,0.887128480279,2.11648468094e-12
305,15.39,16.3893411173,0.555,1.80061462579,-0.0183924387968,-0.0183924387968,-0.630816914348,0.891899758299,0.891899758299,1.14114320437e-12
310,15.52,16.5417546512,0.555,1.84099937145,-0.0162374350085,-0.0162374350085,-0.566677719183,0.896420085808,0.896420085808,5.39546572507e-12
315,15.64,16.6877500608,0.555,1.88783794747,-0.01420559203,-0.01420559203,-0.504367749714,0.900705219246,0.900705219246,8.085348126e-12
320,15.76,16.8276349271,0.55,1.94115441286,-0.0122842368961,-0.0122842368961,-0.443932743313,0.904769756441,0.904769756441,4.12620358496e-13
325,15.88,16.9617048836,0.545,1.98477960296,-0.0104624876656,-0.0104624876656,-0.385396549352,0.90862723128,0.90862723128,3.69788176039e-12
330,15.99,17.0902426092,0.54,2.03748631327,-0.00873096409429,-0.00873096409429,-0.328764489383,0.912290200723,0.912290200723,1.28389600536e-11
335,16.09,17.2135172323,0.54,2.08058746721,-0.00708154815721,-0.00708154815721,-0.274026491652,0.915770324767,0.915770324767,8.24486953101e-12
340,16.19,17.3317840871,0.535,2.13417586367,-0.00550718539862,-0.00550718539862,-0.221159936619,0.919078439845,0.919078439845,1.44071690853e-12
345,16.29,17.4452847521,0.535,2.15941075153,-0.00400171983693,-0.00400171983693,-0.170132183657,0.922224626061,0.922224626061,5.68122255359e-12
350,16.38,17.5542473083,0.53,2.21556095907,-0.00255975651706,-0.00255975651706,-0.12090277357,0.925218268667,0.925218268667,1.15181982791e-11
355,16.47,17.6588867577,0.53,2.24318256167,-0.00117654688635,-0.00117654688635,-0.0734253182818,0.928068114165,0.928068114165,1.1719170322e-12
360,16.55,17.7594055527,0.53,2.28189726931,0.000152106959425,0.000152106959425,-0.0276490995531,0.930782321439,0.930782321439,8.0099836903e-12
365,16.63,17.8559941968,0.53,2.31319659771,0.00142993240912,0.00142993240912,0.0164795956394,0.93336850829,0.93336850829,8.81387103239e-12
370,16.71,17.9488318826,0.53,2.33741864637,0.00266025352266,0.00266025352266,0.0590163730648,0.935833793784,0.935833793784,8.35540402813e-12
375,16.78,18.0380871447,0.53,2.37374932954,0.00384604747491,0.00384604747491,0.100017832484,0.938184836761,0.938184836761,1.68565135506e-12
380,16.85,18.1239185075,0.53,2.40361982547,0.00498999207519,0.00498999207519,0.139540843555,0.940427870879,0.940427870879,6.08567837088e-12
385,16.92,18.2064751165,0.53,2.42731154052,0.00609450586302,0.00609450586302,0.177641970056,0.942568736511,0.942568736511,6.25524835638e-12
390,16.99,18.2858973429,0.53,2.44508932628,0.00716178202016,0.00716178202016,0.214377018806,0.944612909808,0.944612909808,1.22567697715e-11
395,17.05,18.3623173581,0.53,2.47607048704,0.00819381712371,0.00819381712371,0.249800692484,0.946565529205,0.946565529205,3.28714557155e-12
400,17.12,18.435859673,0.53,2.48275410006,0.00919243558841,0.00919243558841,0.283966328312,0.948431419636,0.948431419636,2.18808085324e-12
