T_MeV,sT3_target,sT3_pred,err,residual_over_err,phi_u,phi_d,phi_s,Phi,PhiBar,solve_residual
330,15.99,17.6871686232,0.54,3.14290485769,-0.0080859579063,-0.0080859579063,-0.308002047326,0.931139020536,0.931139020536,1.30462122596e-11
335,16.09,17.8024849576,0.54,3.17126844005,-0.00647778443142,-0.00647778443142,-0.254307181146,0.934006357589,0.934006357589,1.07080305705e-11
340,16.19,17.9125456787,0.535,3.21971154893,-0.00494102766449,-0.00494102766449,-0.20244823929,0.936722915296,0.936722915296,1.02872457947e-11
345,16.29,18.0176211165,0.535,3.22919834853,-0.00346997361967,-0.00346997361967,-0.152389758066,0.939298073365,0.939298073365,9.64790414268e-12
350,16.38,18.1179672422,0.53,3.27918347589,-0.00205960211603,-0.00205960211603,-0.104089455725,0.941740545687,0.941740545687,1.36208660976e-11
355,16.47,18.2138259543,0.53,3.2902376497,-0.000705483649353,-0.000705483649353,-0.0574999475926,0.944058432486,0.944058432486,9.83003487098e-12
360,16.55,18.3054255046,0.53,3.31212359359,0.0005963069433,0.0005963069433,-0.0125701894551,0.946259268303,0.946259268303,3.06482047936e-12
365,16.63,18.39298102,0.53,3.32637928296,0.00184926288863,0.00184926288863,0.0307533224786,0.948350066067,0.948350066067,2.22325094645e-12
370,16.71,18.4766950845,0.53,3.33338695198,0.0030565063136,0.0030565063136,0.0725255655934,0.950337357519,0.950337357519,1.66655893938e-11
375,16.78,18.5567583546,0.53,3.35237425393,0.00422083946389,0.00422083946389,0.112802190149,0.952227230257,0.952227230257,1.03085990521e-11
380,16.85,18.6333501858,0.53,3.36481167125,0.00534478791651,0.00534478791651,0.151638876946,0.95402536168,0.95402536168,1.10521948352e-11
385,16.92,18.7066392579,0.53,3.37101746782,0.00643063711966,0.00643063711966,0.189090828956,0.955737050074,0.955737050074,1.40115051123e-11
390,16.99,18.7767841865,0.53,3.37129091789,0.00748046336328,0.00748046336328,0.225212375188,0.957367243095,0.957367243095,4.16514127588e-12
395,17.05,18.843934113,0.53,3.38478134523,0.00849616009398,0.00849616009398,0.260056667816,0.958920563877,0.958920563877,1.16061234594e-11
400,17.12,18.9082292707,0.53,3.3740174919,0.00947946033175,0.00947946033175,0.293675456202,0.960401334969,0.960401334969,2.05694672854e-11
