T_MeV,phi_u,phi_d,phi_s,Phi,PhiBar,dphi_light_dT_MeV
130,-1.94572070192,-1.94572070192,-2.61569131081,0.087502235555,0.087502235555,0.00307397758905
132,-1.9388281375,-1.9388281375,-2.61347668054,0.0996565089523,0.0996565089523,0.00385553041295
134,-1.93011966509,-1.93011966509,-2.61066611252,0.114157079437,0.114157079437,0.00490697755179
136,-1.91893553774,-1.91893553774,-2.60704457871,0.131733099706,0.131733099706,0.00635771271538
138,-1.9042942246,-1.9042942246,-2.60229445534,0.153391678197,0.153391678197,0.00840263362223
140,-1.88476179668,-1.88476179668,-2.59595602313,0.180411041525,0.180411041525,0.0112901326213
142,-1.85846850922,-1.85846850922,-2.58743835882,0.213963417049,0.213963417049,0.0151567118596
144,-1.82373378848,-1.82373378848,-2.57622842768,0.253885822076,0.253885822076,0.0195988781369
146,-1.78033674129,-1.78033674129,-2.56230216559,0.297344918876,0.297344918876,0.0236701783127
148,-1.72957510508,-1.72957510508,-2.54613663297,0.340186047818,0.340186047818,0.0269921439162
150,-1.67255435648,-1.67255435648,-2.52816231952,0.379803893297,0.379803893297,0.0300334561465
152,-1.60926072916,-1.60926072916,-2.50848153625,0.415576070908,0.415576070908,0.0333372157956
154,-1.53881061109,-1.53881061109,-2.48696695883,0.447815220361,0.447815220361,0.0372280192928
156,-1.45985065461,-1.45985065461,-2.4634083747,0.477045620175,0.477045620175,0.0418607849935
158,-1.37087569789,-1.37087569789,-2.43763013801,0.503730122716,0.503730122716,0.04722136625
160,-1.27068653867,-1.27068653867,-2.40963138393,0.528187407503,0.528187407503,0.0529797104411
162,-1.15929473912,-1.15929473912,-2.37979533946,0.550566484374,0.550566484374,0.0582023791305
164,-1.03935657814,-1.03935657814,-2.34911546597,0.570857540928,0.570857540928,0.0611986771799
166,-0.917175301962,-0.917175301962,-2.31916071704,0.588981253448,0.588981253448,0.0602402237305
168,-0.801190174389,-0.801190174389,-2.29147534414,0.604959965617,0.604959965617,0.0551652002462
170,-0.698091414398,-0.698091414398,-2.26680601568,0.619024575956,0.619024575956,0.0477311935638
172,-0.610438347496,-0.610438347496,-2.24497556669,0.631540606752,0.631540606752,0.0400016622397
174,-0.537485712617,-0.537485712617,-2.22533854105,0.642868593739,0.642868593739,0.0331419455104
176,-0.477062935872,-0.477062935872,-2.20720395541,0.653291748773,0.653291748773,0.0274810925867
178,-0.426809916409,-0.426809916409,-2.19000928848,0.663011085038,0.663011085038,0.0229440270268
180,-0.384668340682,-0.384668340682,-2.17334164401,0.672164856042,0.672164856042,0.0193349143834
182,-0.348984572958,-0.348984572958,-2.15690896562,0.680848650074,0.680848650074,0.0164555334976
184,-0.318470784489,-0.318470784489,-2.14050613416,0.68913010483,0.68913010483,0.0141405367961
186,-0.292132663381,-0.292132663381,-2.12398814803,0.697058578596,0.697058578596,0.0122612220867
188,-0.26920106181,-0.26920106181,-2.10725125031,0.704671295415,0.704671295415,0.0107199566111
190,-0.249076907171,-0.249076907171,-2.09022018337,0.711997238944,0.711997238944,0.0094431806611
