T_MeV,sT3_target,sT3_pred,err,residual_over_err,phi_u,phi_d,phi_s,Phi,PhiBar,solve_residual
130,2.77,0.386178323309,0.295,-8.08075144641,-1.95576576708,-1.95576576708,-2.61879003746,0.0591651643422,0.0591651643422,1.0006261354e-15
135,3.13,0.602383217793,0.425,-5.94733360519,-1.94108091173,-1.94108091173,-2.61404674441,0.0849887737846,0.0849887737846,1.06348493028e-15
140,3.58,1.09631323958,0.485,-5.12100362973,-1.90748664481,-1.90748664481,-2.60313397197,0.138237372842,0.138237372842,1.57347502765e-15
145,4.11,3.14021757473,0.535,-1.81267743041,-1.77812965984,-1.77812965984,-2.56184292012,0.308621926944,0.308621926944,8.53908930957e-16
150,4.7,4.87169019983,0.59,0.291000338696,-1.63490878967,-1.63490878967,-2.51686125945,0.41480282403,0.41480282403,1.35143512135e-11
155,5.34,6.1266672217,0.635,1.23884601843,-1.47728125595,-1.47728125595,-2.46884156717,0.477755571813,0.477755571813,2.11843227713e-15
160,6,7.23284302305,0.67,1.84006421351,-1.27711000912,-1.27711000912,-2.41131592412,0.525306554964,0.525306554964,6.29446277778e-15
165,6.66,8.24012578173,0.695,2.27356227586,-1.02504129819,-1.02504129819,-2.34494281672,0.56379155484,0.56379155484,3.80398593234e-13
170,7.32,9.05609767297,0.705,2.46254989074,-0.763052481771,-0.763052481771,-2.28121196147,0.594375076095,0.594375076095,6.22181316703e-14
175,7.94,9.62844212261,0.71,2.37808749664,-0.561409037593,-0.561409037593,-2.23024759583,0.61830004298,0.61830004298,1.07644099634e-15
180,8.53,10.0417618314,0.705,2.14434302326,-0.427512889811,-0.427512889811,-2.18802104058,0.638075404188,0.638075404188,9.72262856167e-15
185,9.08,10.373651125,0.71,1.82204383804,-0.338135795347,-0.338135795347,-2.14864258448,0.655368530205,0.655368530205,1.40586901426e-14
190,9.6,10.6621616477,0.685,1.55060094554,-0.275648790266,-0.275648790266,-2.10904209359,0.670979916825,0.670979916825,1.49678717994e-15
