T_MeV,phi_u,phi_d,phi_s,dphi_u_dT_MeV,dphi_d_dT_MeV,dphi_s_dT_MeV,residual
74,-1.97599891106,-1.97599891106,-2.62505968355,6.7312569862e-05,6.7312569862e-05,1.61484070464e-05,1.53845279375e-15
75,-1.97592705905,-1.97592705905,-2.62504238949,7.65566310908e-05,7.65566310908e-05,1.84844173684e-05,8.8836898167e-16
76,-1.97584545284,-1.97584545284,-2.62502262092,8.68357516089e-05,8.68357516089e-05,2.11018710118e-05,1.08789155018e-15
77,-1.97575301205,-1.97575301205,-2.62500008275,9.82415817055e-05,9.82415817055e-05,2.40283846003e-05,4.44184490835e-16
78,-1.9756485615,-1.9756485615,-2.62497445122,0.000110872160397,0.000110872160397,2.7293763406e-05,8.88208912363e-16
79,-1.97553082462,-1.97553082462,-2.62494537159,0.000124832317113,0.000124832317113,3.09301501047e-05,1.08780302994e-15
80,-1.97539841641,-1.97539841641,-2.62491245573,0.000140234104124,0.000140234104124,3.49721839927e-05,1.33228174669e-15
81,-1.97524983604,-1.97524983604,-2.6248752796,0.000157197262002,0.000157197262002,3.9457171419e-05,1.83103699116e-15
82,-1.97508345888,-1.97508345888,-2.62483338039,0.000175849720314,0.000175849720314,4.44252681967e-05,1.33227271174e-15
83,-1.97489752805,-1.97489752805,-2.62478625366,0.00019632813577,0.00019632813577,4.99196747477e-05,2.22045147025e-15
84,-1.97469014542,-1.97469014542,-2.62473335016,0.00021877846983,0.00021877846983,5.59868447036e-05,6.29764354603e-16
85,-1.97445926196,-1.97445926196,-2.62467407245,0.000243356607623,0.000243356607623,6.2676707632e-05,3.77326581558e-15
86,-1.97420266757,-1.97420266757,-2.62460777134,0.000270229019682,0.000270229019682,7.00429064666e-05,2.24301590173e-15
87,-1.97391798005,-1.97391798005,-2.62453374203,0.000299573467558,0.000299573467558,7.8143050085e-05,2.84899800297e-15
88,-1.9736026335,-1.9736026335,-2.62445122003,0.000331579753778,0.000331579753778,8.7038981299e-05,2.86983562878e-15
89,-1.97325386587,-1.97325386587,-2.62435937674,0.000366450515844,0.000366450515844,9.67970602693e-05,6.06662587249e-15
90,-1.9728687057,-1.9728687057,-2.62425731486,0.000404402062907,0.000404402062907,0.000107488463036,1.12512875504e-14
91,-1.97244395803,-1.97244395803,-2.62414406333,0.000445665252538,0.000445665252538,0.000119189494438,2.02438659087e-14
92,-1.97197618939,-1.97197618939,-2.62401857214,0.000490486403369,0.000490486403369,0.000131981914174,3.6305743867e-14
93,-1.97146171186,-1.97146171186,-2.62387970659,0.000539128237497,0.000539128237497,0.000145953274109,6.36479273378e-14
94,-1.97089656619,-1.97089656619,-2.62372624145,0.000591870844164,0.000591870844164,0.000161197264138,1.09113294294e-13
95,-1.97027650398,-1.97027650398,-2.62355685454,0.000649012653512,0.000649012653512,0.000177814062986,1.83681595779e-13
96,-1.9695969688,-1.9695969688,-2.62337012013,0.000710871405981,0.000710871405981,0.000195910689188,3.04051416335e-13
97,-1.96885307642,-1.96885307642,-2.6231645019,0.000777785099275,0.000777785099275,0.000215601346225,4.95914936723e-13
98,-1.96803959414,-1.96803959414,-2.62293834561,0.000850112890746,0.000850112890746,0.000237007754315,7.9812390458e-13
99,-1.96715091915,-1.96715091915,-2.62268987138,0.000928235928659,0.000928235928659,0.000260259459737,1.26898126956e-12
100,-1.96618105617,-1.96618105617,-2.6224171658,0.00101255808116,0.00101255808116,0.000285494110844,1.47288545498e-15
101,-1.96512359448,-1.96512359448,-2.62211817361,0.00110350652745,0.00110350652745,0.000312857688141,1.53840144701e-15
102,-1.96397168432,-1.96397168432,-2.62179068938,0.00120153217099,0.00120153217099,0.000342504673973,1.53844056849e-15
103,-1.96271801307,-1.96271801307,-2.62143234887,0.00130710983221,0.00130710983221,0.000374598146006,6.28209455301e-16
104,-1.96135478135,-1.96135478135,-2.62104062046,0.00142073817557,0.00142073817557,0.000409309777351,8.8851716828e-16
105,-1.95987367937,-1.95987367937,-2.62061279663,0.00154293932722,0.00154293932722,0.000446819725797,7.6957620287e-16
106,-1.95826586372,-1.95826586372,-2.62014598552,0.00167425814298,0.00167425814298,0.000487316395061,1.08789155018e-15
107,-1.95652193526,-1.95652193526,-2.61963710293,0.00181526109537,0.00181526109537,0.000530996052829,7.6943541958e-16
108,-1.95463191816,-1.95463191816,-2.61908286463,0.00196653476221,0.00196653476221,0.000578062293923,6.28726586908e-16
109,-1.95258524075,-1.95258524075,-2.61847977947,0.00212868392077,0.00212868392077,0.000628725342747,7.69748236367e-16
110,-1.9503707184,-1.9503707184,-2.61782414306,0.00230232928013,0.00230232928013,0.000683201197491,1.53887083916e-15
111,-1.94797653888,-1.94797653888,-2.61711203259,0.00248810492202,0.00248810492202,0.000741710629674,7.6943541958e-16
112,-1.94539025031,-1.94539025031,-2.6163393025,0.00268665556562,0.00268665556562,0.000804478066609,0
113,-1.94259875193,-1.94259875193,-2.6155015815,0.00289863382472,0.00289863382472,0.000871730400796,4.4408920985e-16
114,-1.9395882875,-1.9395882875,-2.61459427068,0.00312469768201,0.00312469768201,0.000943695788587,7.6943541958e-16
115,-1.93634444095,-1.93634444095,-2.6136125428,0.00336550846308,0.00336550846308,0.00102060251934,1.77646525631e-15
116,-1.93285213379,-1.93285213379,-2.61255134269,0.00362172964477,0.00362172964477,0.0011026780541,1.2561122987e-15
117,-1.92909562302,-1.92909562302,-2.61140538842,0.00389402687331,0.00389402687331,0.00119014834735,4.44522679167e-16
118,-1.9250584983,-1.9250584983,-2.610169173,0.00418306959031,0.00418306959031,0.00128323757453,4.47975334371e-16
119,-1.92072367653,-1.92072367653,-2.60883696607,0.00448953466201,0.00448953466201,0.00138216838889,1.08995866261e-15
120,-1.91607339167,-1.91607339167,-2.60740281502,0.00481411237647,0.00481411237647,0.00148716282307,7.6943541958e-16
121,-1.91108917714,-1.91108917714,-2.6058605449,0.00515751511204,0.00515751511204,0.00159844393195,1.332412182e-15
122,-1.90575183829,-1.90575183829,-2.60420375617,0.00552048889323,0.00552048889323,0.00171623824472,1.5384953369e-15
123,-1.90004141166,-1.90004141166,-2.6024258197,0.00590382794483,0.00590382794483,0.00184077905804,4.54802018495e-16
124,-1.89393710827,-1.89393710827,-2.60051986799,0.00630839224408,0.00630839224408,0.00197231056171,1.57009245868e-16
125,-1.88741723791,-1.88741723791,-2.59847878192,0.00673512797045,0.00673512797045,0.00211109274877,9.0960403699e-16
126,-1.8804591115,-1.8804591115,-2.59629517211,0.00718509067803,0.00718509067803,0.00225740702758,1.49158783575e-15
127,-1.87303891916,-1.87303891916,-2.59396135453,0.00765947098199,0.00765947098199,0.00241156242913,1.35647833336e-15
128,-1.86513158126,-1.86513158126,-2.59146931955,0.00815962256685,0.00815962256685,0.00257390229196,2.56802829337e-15
129,-1.85671057045,-1.85671057045,-2.58881069411,0.00868709239412,0.00868709239412,0.00274481130985,1.44875065259e-15
130,-1.8477477024,-1.8477477024,-2.58597669672,0.00924365310677,0.00924365310677,0.00292472284387,1.72710170455e-15
131,-1.83821289289,-1.83821289289,-2.58295808511,0.00983133778911,0.00983133778911,0.00311412642642,2.24743050441e-15
132,-1.82807387892,-1.82807387892,-2.57974509619,0.0104524774283,0.0104524774283,0.00331357541515,1.3095220588e-15
133,-1.81729590076,-1.81729590076,-2.57632737837,0.0111097416229,0.0111097416229,0.00352369478427,1.29532627841e-15
134,-1.80584134133,-1.80584134133,-2.57269391596,0.0118061832756,0.0118061832756,0.0037451890604,1.74838096756e-15
135,-1.79366931855,-1.79366931855,-2.56883294562,0.0125452881755,0.0125452881755,0.00397885041364,2.19812944216e-15
136,-1.78073522528,-1.78073522528,-2.56473186458,0.0133310304969,0.0133310304969,0.00422556689183,1.97513637386e-15
137,-1.76699021029,-1.76699021029,-2.56037713064,0.014167935291,0.014167935291,0.00448633072611,1.83816525221e-15
138,-1.75238059284,-1.75238059284,-2.55575415381,0.0150611489831,0.0150611489831,0.00476224652257,1.96261557335e-15
139,-1.73684720242,-1.73684720242,-2.55084718012,0.0160165186426,0.0160165186426,0.00505453896559,1.78328223346e-15
140,-1.72032463473,-1.72032463473,-2.54563916803,0.0170406802591,0.0170406802591,0.00536455935782,1.71321838516e-15
141,-1.70274041509,-1.70274041509,-2.5401116595,0.0181411552414,0.0181411552414,0.00569378985554,1.54636173612e-15
142,-1.68401406225,-1.68401406225,-2.53424464864,0.0193264525665,0.0193264525665,0.00604384354335,1.04148151432e-15
143,-1.66405604944,-1.66405604944,-2.52801645355,0.0206061709224,0.0206061709224,0.00641645740271,1.89755596071e-15
144,-1.64276666737,-1.64276666737,-2.52140360052,0.0219910900239,0.0219910900239,0.00681347357243,1.47757713334e-15
145,-1.62003480912,-1.62003480912,-2.51438073578,0.0234932317163,0.0234932317163,0.00723680179331,2.06848881178e-15
146,-1.59573672194,-1.59573672194,-2.50692058839,0.0251258574731,0.0251258574731,0.00768835216285,6.07397020199e-15
147,-1.56973481566,-1.56973481566,-2.49899402189,0.0269033462582,0.0269033462582,0.00816992173071,1.16591919834e-14
148,-1.5418766893,-1.5418766893,-2.49057023226,0.0288408606897,0.0288408606897,0.00868301031763,2.2722444025e-14
149,-1.51199465614,-1.51199465614,-2.48161717984,0.0309536533344,0.0309536533344,0.0092285294746,4.74594047543e-14
150,-1.47990623492,-1.47990623492,-2.47210238645,0.0332557805089,0.0332557805089,0.00980635332588,8.81961967372e-14
151,-1.44541636447,-1.44541636447,-2.46199428866,0.0357578709453,0.0357578709453,0.0104146422851,1.62347579209e-13
152,-1.40832252604,-1.40832252604,-2.45126441566,0.0384634436263,0.0384634436263,0.0110488556088,2.85921822876e-13
153,-1.36842454236,-1.36842454236,-2.43989074504,0.04136311771,0.04136311771,0.0117003714517,4.82519179781e-13
154,-1.32554151465,-1.32554151465,-2.42786265072,0.0444260231582,0.0444260231582,0.0123546876882,7.76958825389e-13
155,-1.27953892007,-1.27953892007,-2.41518781133,0.0475880830447,0.0475880830447,0.0129893478615,1.15960881114e-12
156,-1.23036868311,-1.23036868311,-2.40190113469,0.0507381254404,0.0507381254404,0.0135721164705,1.5751223595e-12
157,-1.17812278893,-1.17812278893,-2.38807492781,0.0537056711861,0.0537056711861,0.0140605721728,1.88384970981e-12
158,-1.123094973,-1.123094973,-2.37382799771,0.0562588127429,0.0562588127429,0.0144050109624,1.9022033999e-12
159,-1.06583439978,-1.06583439978,-2.35932934599,0.0581244861128,0.0581244861128,0.014556598766,1.5459538653e-12
160,-1.00716361811,-1.00716361811,-2.34479092807,0.059040195212,0.059040195212,0.0144807875391,9.62002353761e-13
161,-0.948131339131,-0.948131339131,-2.3304459534,0.0588291817243,0.0588291817243,0.0141716822406,4.34690673986e-13
162,-0.889891210853,-0.889891210853,-2.31651569677,0.0574661555784,0.0574661555784,0.0136592154608,1.33577594095e-13
163,-0.833537075292,-0.833537075292,-2.30317558131,0.0550931592768,0.0550931592768,0.0130029953447,2.48273274804e-14
164,-0.779954339449,-0.779954339449,-2.29053349006,0.0519731352248,0.0519731352248,0.0122751917652,3.89053577531e-15
165,-0.729738118955,-0.729738118955,-2.27862678114,0.0484100401414,0.0484100401414,0.0115420189827,4.61243889257e-15
166,-0.683189637898,-0.683189637898,-2.2674347446,0.0446784594344,0.0446784594344,0.0108522815804,4.64174142686e-15
167,-0.640367191067,-0.640367191067,-2.25689792183,0.0409864235986,0.0409864235986,0.0102348743041,4.26533757476e-15
168,-0.601157725057,-0.601157725057,-2.24693664804,0.0374695484547,0.0374695484547,0.00970213863568,2.88230661244e-15
169,-0.56534421382,-0.56534421382,-2.23746498955,0.0342028753607,0.0342028753607,0.00925515851362,3.10465685474e-15
170,-0.532657735054,-0.532657735054,-2.22839950625,0.0312180086257,0.0312180086257,0.00888855759931,1.48122226308e-15
171,-0.502812833871,-0.502812833871,-2.21966386926,0.0285187085346,0.0285187085346,0.00859394661122,9.67869993827e-16
172,-0.475529158812,-0.475529158812,-2.2111907086,0.0260926243304,0.0260926243304,0.00836206116267,5.26625020287e-16
173,-0.450543330861,-0.450543330861,-2.20292183799,0.0239192021599,0.0239192021599,0.00818393213102,3.23682852457e-16
174,-0.427614472817,-0.427614472817,-2.19480764488,0.0219746169082,0.0219746169082,0.0080514368141,1.09906472108e-15
175,-0.406525905829,-0.406525905829,-2.18680612608,0.0202346469017,0.0202346469017,0.00795749141007,5.661048867e-16
176,-0.38708468453,-0.38708468453,-2.17888183677,0.0186762254161,0.0186762254161,0.0078960538242,7.4061113154e-16
177,-0.369120019424,-0.369120019424,-2.17100488739,0.0172781839624,0.0172781839624,0.00786203719,1.42177919159e-15
178,-0.352481213909,-0.352481213909,-2.16315004719,0.0160215237435,0.0160215237435,0.00785118979786,3.92523114671e-16
179,-0.337035474275,-0.337035474275,-2.15529597176,0.0148894251814,0.0148894251814,0.00785997026533,3.59753377e-16
180,-0.322665785814,-0.322665785814,-2.14742455184,0.0138671220907,0.0138671220907,0.00788543152571,1.36200430338e-15
181,-0.30926895002,-0.30926895002,-2.13952037114,0.012941714519,0.012941714519,0.00792511895971,2.22044604925e-16
182,-0.296753821221,-0.296753821221,-2.13157025849,0.0121019620823,0.0121019620823,0.00797698377227,4.15407418106e-16
183,-0.285039749671,-0.285039749671,-2.12356291925,0.0113380803423,0.0113380803423,0.00803931072336,4.15407418106e-16
184,-0.274055221738,-0.274055221738,-2.11548863258,0.0106415514614,0.0106415514614,0.00811065851826,3.84592537277e-16
185,-0.263736680129,-0.263736680129,-2.10733900271,0.0100049539011,0.0100049539011,0.00818981096355,7.52989890787e-16
186,-0.254027504308,-0.254027504308,-2.09910675445,0.0094218123389,0.0094218123389,0.0082757370836,3.86590434031e-16
187,-0.244877131135,-0.244877131135,-2.09078556481,0.00888646709274,0.00888646709274,0.00836755859795,2.35513868803e-16
188,-0.236240296976,-0.236240296976,-2.08236992398,0.0083939614376,0.0083939614376,0.00846452339886,1.38277375184e-15
189,-0.228076384371,-0.228076384371,-2.0738550204,0.00793994484848,0.00793994484848,0.00856598389844,6.28036983474e-16
190,-0.220348858327,-0.220348858327,-2.06523664535,0.00752059015956,0.00752059015956,0.00867137931971,6.84387435942e-16
191,-0.213024779306,-0.213024779306,-2.05651111362,0.00713252273818,0.00713252273818,0.00878022118061,3.84592537277e-16
192,-0.206074381743,-0.206074381743,-2.04767519744,0.00677275995303,0.00677275995303,0.00889208136453,7.4061113154e-16
193,-0.199470708596,-0.199470708596,-2.03872607111,0.00643865941965,0.00643865941965,0.00900658228952,4.45820558365e-16
194,-0.193189293822,-0.193189293822,-2.02966126473,0.00612787470881,0.00612787470881,0.00912338878368,6.47365704914e-16
195,-0.18720788588,-0.18720788588,-2.02047862519,0.00583831739043,0.00583831739043,0.00924220135126,3.84592537277e-16
196,-0.181506206436,-0.181506206436,-2.01117628342,0.00556812445376,0.00556812445376,0.00936275057556,1.11091669731e-15
197,-0.176065739302,-0.176065739302,-2.00175262672,0.00531563029078,0.00531563029078,0.00948479245376,1.15377761183e-15
198,-0.170869545401,-0.170869545401,-1.99220627533,0.00507934255585,0.00507934255585,0.00960810449835,3.84592537277e-16
199,-0.16590210018,-0.16590210018,-1.98253606259,0.00485792132189,0.00485792132189,0.00973248247132,3.92523114671e-16
200,-0.161149150422,-0.161149150422,-1.97274101813,0.00465016104443,0.00465016104443,0.00985773764225,9.45320841934e-16
201,-0.156597587872,-0.156597587872,-1.96282035354,0.00445497492102,0.00445497492102,0.00998369448185,5.45310538513e-16
202,-0.152235337448,-0.152235337448,-1.95277345014,0.00427138129818,0.00427138129818,0.0101101887188,3.86590434031e-16
203,-0.148051258144,-0.148051258144,-1.94259984861,0.0040984918318,0.0040984918318,0.0102370657005,2.08628897191e-15
204,-0.144035055009,-0.144035055009,-1.93229924004,0.00393550115233,0.00393550115233,0.0103641790097,1.6392246516e-15
205,-0.140177200788,-0.140177200788,-1.92187145833,0.0037816778239,0.0037816778239,0.0104913892956,1.04443607775e-15
206,-0.136468866042,-0.136468866042,-1.91131647361,0.00363635641848,0.00363635641848,0.010618563289,6.66422872638e-16
207,-0.132901856691,-0.132901856691,-1.90063438658,0.00349893055307,0.00349893055307,0.0107455729706,6.70743792374e-16
208,-0.129468558105,-0.129468558105,-1.88982542364,0.00336884676013,0.00336884676013,0.0108722948729,2.5133742693e-16
209,-0.126161884941,-0.126161884941,-1.87888993263,0.00324559908069,0.00324559908069,0.0109986094943,8.89045358335e-16
210,-0.122975236076,-0.122975236076,-1.86782837912,0.0031287242855,0.0031287242855,0.0111244008109,1.6820199429e-15
211,-0.119902454038,-0.119902454038,-1.85664134312,0.00301779764301,0.00301779764301,0.0112495558721,3.96914435932e-16
212,-0.116937788417,-0.116937788417,-1.84532951622,0.00291242916461,0.00291242916461,0.0113739644683,6.67289294941e-16
213,-0.11407586283,-0.11407586283,-1.83389369895,0.00281226026702,0.00281226026702,0.0114975188622,6.66133814775e-16
214,-0.111311645026,-0.111311645026,-1.82233479842,0.00271696080025,0.00271696080025,0.0116201135737,1.15794318828e-15
215,-0.108640419802,-0.108640419802,-1.81065382618,0.00262622639633,0.00262622639633,0.0117416452139,7.70435986218e-16
216,-0.106057764433,-0.106057764433,-1.79885189617,0.0025397761002,0.0025397761002,0.0118620123599,1.2761529536e-15
217,-0.103559526335,-0.103559526335,-1.78693022282,0.00245735024908,0.00245735024908,0.0119811154665,2.0831941685e-15
218,-0.10114180274,-0.10114180274,-1.77489011918,0.00237870857129,0.00237870857129,0.0120988568099,1.88477526045e-15
219,-0.0988009221765,-0.0988009221765,-1.76273299512,0.00230362847899,0.00230362847899,0.0122151404592,1.99844963051e-15
220,-0.0965334275641,-0.0965334275641,-1.75046035556,0.00223190353275,0.00223190353275,0.0123298722729,4.46252345932e-16
221,-0.0943360607704,-0.0943360607704,-1.73807379865,0.00216334205845,0.00216334205845,0.0124429599165,0
222,-0.0922057484795,-0.0922057484795,-1.72557501397,0.00209776589976,0.00209776589976,0.0125543128989,7.85046229342e-17
223,-0.0901395892471,-0.0901395892471,-1.71296578063,0.00203500929109,0.00203500929109,0.0126638426244,1.88411095042e-15
224,-0.0881348416281,-0.0881348416281,-1.70024796537,0.00197491783807,0.00197491783807,0.0127714624595,4.44522679167e-16
225,-0.0861889132746,-0.0861889132746,-1.68742352056,0.00191734759402,0.00191734759402,0.0128770878106,1.5384953369e-15
226,-0.0842993509142,-0.0842993509142,-1.67449448209,0.00186216422221,0.00186216422221,0.0129806362117,1.33457858988e-15
227,-0.0824638311259,-0.0824638311259,-1.66146296723,0.00180924223505,0.00180924223505,0.0130820274202,6.30790873833e-16
228,-0.0806801518429,-0.0806801518429,-1.64833117232,0.00175846430219,0.00175846430219,0.0131811835188,1.26158174767e-15
229,-0.0789462245149,-0.0789462245149,-1.63510137042,0.00170972062059,0.00170972062059,0.0132780290224,1.99994282631e-15
230,-0.0772600668727,-0.0772600668727,-1.62177590881,0.00166290834021,0.00166290834021,0.013372490988,8.38200002215e-16
231,-0.0756197962406,-0.0756197962406,-1.60835720642,0.00161793103993,0.00161793103993,0.0134644991263,3.17149203492e-15
232,-0.074023623351,-0.074023623351,-1.59484775104,0.00157469824874,0.00157469824874,0.0135539859146,7.6943541958e-16
233,-0.0724698466164,-0.0724698466164,-1.58125009662,0.00153312500769,0.00153312500769,0.0136408867076,1.33259285051e-15
234,-0.0709568468209,-0.0709568468209,-1.56756686021,0.00149313146884,0.00149313146884,0.0137251398478,7.77218069178e-16
235,-0.0694830821951,-0.0694830821951,-1.55380071903,0.00145464252768,0.00145464252768,0.0138066867721,9.99971413154e-16
236,-0.0680470838446,-0.0680470838446,-1.53995440723,0.00141758748579,0.00141758748579,0.0138854721142,3.26374472545e-15
237,-0.0666474515001,-0.0666474515001,-1.52603071272,0.00138189974104,0.00138189974104,0.0139614438024,1.2623448166e-15
238,-0.0652828495664,-0.0652828495664,-1.51203247378,0.0013475165028,0.0013475165028,0.0140345531516,1.332412182e-15
239,-0.0639520034428,-0.0639520034428,-1.49796257564,0.00131437852986,0.00131437852986,0.0141047549482,3.79678622439e-15
240,-0.0626536960969,-0.0626536960969,-1.483823947,0.00128242988905,0.00128242988905,0.0141720075274,4.40213623107e-15
241,-0.0613867648686,-0.0613867648686,-1.46961955638,0.00125161773272,0.00125161773272,0.0142362728432,6.2995068461e-16
242,-0.060150098489,-0.060150098489,-1.45535240856,0.00122189209349,0.00122189209349,0.0142975165286,1.26100914294e-15
243,-0.0589426342961,-0.0589426342961,-1.44102554079,0.00119320569463,0.00119320569463,0.0143557079471,2.13269136378e-15
244,-0.0577633556328,-0.0577633556328,-1.42664201909,0.00116551377492,0.00116551377492,0.0144108202345,2.51461915405e-15
245,-0.0566112894135,-0.0566112894135,-1.41220493443,0.00113877392665,0.00113877392665,0.0144628303304,2.52224736937e-15
246,-0.0554855038467,-0.0554855038467,-1.39771739894,0.0011129459456,0.0011129459456,0.014511718999,3.33211436319e-16
247,-0.0543851063013,-0.0543851063013,-1.38318254208,0.0010879916922,0.0010879916922,0.0145574708404,6.38076476798e-16
248,-0.0533092413078,-0.0533092413078,-1.36860350677,0.00106387496278,0.00106387496278,0.0146000742897,6.66206090999e-16
249,-0.0522570886824,-0.0522570886824,-1.35398344559,0.00104056137013,0.00104056137013,0.0146395216067,3.21006161537e-15
250,-0.0512278617669,-0.0512278617669,-1.33932551696,0.00101801823263,0.00101801823263,0.0146758088541,1.8972514504e-15
251,-0.0502208057752,-0.0502208057752,-1.32463288134,0.000996214471332,0.000996214471332,0.0147089358651,1.14859131631e-16
252,-0.0492351962386,-0.0492351962386,-1.30990869749,0.000975120514248,0.000975120514248,0.0147389062009,1.91583853391e-15
253,-0.0482703375448,-0.0482703375448,-1.29515611879,0.000954708207326,0.000954708207326,0.0147657270976,7.1149890083e-16
254,-0.0473255615609,-0.0473255615609,-1.28037828953,0.000934950731628,0.000934950731628,0.0147894094035,1.42177919159e-15
255,-0.0464002263379,-0.0464002263379,-1.26557834142,0.000915822526193,0.000915822526193,0.0148099675067,1.47708826327e-15
256,-0.0454937148891,-0.0454937148891,-1.25075939001,0.000897299216155,0.000897299216155,0.0148274192537,1.2761529536e-15
257,-0.0446054340375,-0.0446054340375,-1.23592453133,0.000879357545727,0.000879357545727,0.014841785859,3.8267606695e-15
258,-0.0437348133286,-0.0437348133286,-1.22107683854,0.000861975315674,0.000861975315674,0.0148530918072,2.57366558846e-15
259,-0.0428813040035,-0.0428813040035,-1.20621935875,0.000845131324946,0.000845131324946,0.014861364747,1.53837014911e-15
260,-0.042044378028,-0.042044378028,-1.19135510985,0.000828805316155,0.000828805316155,0.0148666353784,1.27570012268e-15
261,-0.0412235271748,-0.0412235271748,-1.17648707758,0.000812977924621,0.000812977924621,0.0148689373337,2.66457591637e-15
262,-0.0404182621551,-0.0404182621551,-1.16161821263,0.000797630630714,0.000797630630714,0.0148683070525,1.2997142872e-15
263,-0.0396281117957,-0.0396281117957,-1.14675142788,0.00078274571526,0.00078274571526,0.0148647836516,2.5126270424e-15
264,-0.0388526222599,-0.0388526222599,-1.13188959584,0.000768306217785,0.000768306217785,0.0148584087914,1.29993653973e-15
265,-0.0380913563087,-0.0380913563087,-1.11703554612,0.000754295897395,0.000754295897395,0.0148492265369,3.77479814389e-15
266,-0.0373438925993,-0.0373438925993,-1.10219206314,0.000740699196097,0.000740699196097,0.0148372832173,6.66142849732e-16
267,-0.0366098250201,-0.0366098250201,-1.08736188391,0.000727501204397,0.000727501204397,0.0148226272826,6.29609037474e-15
