T_MeV,phi_u,phi_d,phi_s,dphi_u_dT_MeV,dphi_d_dT_MeV,dphi_s_dT_MeV,residual
156.85,-1.18614687366,-1.18614687366,-2.39017915212,0.0532806585443,0.0532806585443,0.0139952266269,4.50974724488e-16
156.9,-1.1834792707,-1.1834792707,-2.38947883608,0.0534233019596,0.0534233019596,0.0140173576901,1.31597728172e-15
156.95,-1.18080455949,-1.18080455949,-2.38877742214,0.0535649835747,0.0535649835747,0.0140391417062,7.4061113154e-16
157,-1.17812278891,-1.17812278891,-2.3880749278,0.0537056711874,0.0537056711874,0.014060572173,1.58765774373e-15
157.05,-1.17543400948,-1.17543400948,-2.38737137092,0.0538453322918,0.0538453322918,0.0140816425839,1.08779196441e-15
157.1,-1.17273827334,-1.17273827334,-2.38666676966,0.0539839340889,0.0539839340889,0.0141023464316,7.73180868062e-16
157.15,-1.17003563428,-1.17003563428,-2.3859611425,0.0541214434975,0.0541214434975,0.014122677211,1.55629351283e-15
157.2,-1.16732614775,-1.16732614775,-2.38525450826,0.0542578271662,0.0542578271662,0.0141426284237,4.96506830649e-16
157.25,-1.16460987088,-1.16460987088,-2.38454688609,0.054393051485,0.054393051485,0.0141621935815,7.36438641259e-16
157.3,-1.16188686249,-1.16188686249,-2.38383829544,0.0545270825983,0.0545270825983,0.01418136621,6.28036983474e-16
157.35,-1.15915718308,-1.15915718308,-2.38312875612,0.0546598864183,0.0546598864183,0.0142001398529,1.47496795395e-15
157.4,-1.15642089487,-1.15642089487,-2.38241828822,0.0547914286387,0.0547914286387,0.0142185080761,8.881784197e-16
157.45,-1.15367806181,-1.15367806181,-2.38170691217,0.0549216747492,0.0549216747492,0.0142364644714,1.27554914332e-15
157.5,-1.15092874958,-1.15092874958,-2.38099464874,0.0550505900506,0.0550505900506,0.0142540026614,1.68373658217e-15
157.55,-1.14817302557,-1.14817302557,-2.38028151898,0.0551781396706,0.0551781396706,0.0142711163035,4.4408920985e-16
157.6,-1.14541095896,-1.14541095896,-2.37956754429,0.0553042885798,0.0553042885798,0.0142877990943,1.15377761183e-15
157.65,-1.14264262064,-1.14264262064,-2.37885274636,0.0554290016084,0.0554290016084,0.0143040447742,7.85046229342e-16
157.7,-1.13986808331,-1.13986808331,-2.3781371472,0.055552243464,0.055552243464,0.0143198471318,1.27796267271e-15
157.75,-1.13708742141,-1.13708742141,-2.37742076914,0.0556739787491,0.0556739787491,0.014335200009,9.28879225242e-16
157.8,-1.13430071114,-1.13430071114,-2.37670363479,0.0557941719799,0.0557941719799,0.0143500973053,6.70743792374e-16
157.85,-1.1315080305,-1.1315080305,-2.3759857671,0.0559127876053,0.0559127876053,0.0143645329827,1.92936191434e-15
157.9,-1.12870945927,-1.12870945927,-2.37526718929,0.0560297900264,0.0560297900264,0.0143785010706,5.661048867e-16
157.95,-1.12590507898,-1.12590507898,-2.37454792488,0.0561451436171,0.0561451436171,0.0143919956709,8.63550852276e-16
158,-1.12309497298,-1.12309497298,-2.37382799771,0.0562588127441,0.0562588127441,0.0144050109625,1.11022302463e-15
158.05,-1.12027922637,-1.12027922637,-2.37310743187,0.0563707617888,0.0563707617888,0.0144175412069,2.22044604925e-16
158.1,-1.11745792606,-1.11745792606,-2.37238625177,0.0564809551685,0.0564809551685,0.0144295807527,6.70743792374e-16
158.15,-1.11463116071,-1.11463116071,-2.37166448207,0.056589357359,0.056589357359,0.0144411240412,7.02166693715e-16
158.2,-1.11179902077,-1.11179902077,-2.37094214773,0.056695932917,0.056695932917,0.0144521656111,9.28879225242e-16
158.25,-1.10896159845,-1.10896159845,-2.37021927396,0.0568006465035,0.0568006465035,0.0144627001038,4.15407418106e-16
158.3,-1.10611898774,-1.10611898774,-2.36949588625,0.0569034629072,0.0569034629072,0.0144727222688,5.49532360539e-16
158.35,-1.10327128437,-1.10327128437,-2.36877201036,0.0570043470683,0.0570043470683,0.0144822269684,7.52989890787e-16
158.4,-1.10041858582,-1.10041858582,-2.36804767227,0.0571032641036,0.0571032641036,0.0144912091834,1.11299512139e-15
158.45,-1.09756099132,-1.09756099132,-2.36732289823,0.0572001793303,0.0572001793303,0.0144996640178,4.15407418106e-16
158.5,-1.09469860182,-1.09469860182,-2.36659771473,0.0572950582918,0.0572950582918,0.0145075867043,2.71947991102e-16
158.55,-1.09183152,-1.09183152,-2.3658721485,0.0573878667829,0.0573878667829,0.0145149726094,5.43895982204e-16
158.6,-1.08895985022,-1.08895985022,-2.36514622649,0.0574785708756,0.0574785708756,0.0145218172384,5.49532360539e-16
158.65,-1.08608369854,-1.08608369854,-2.36441997587,0.0575671369449,0.0575671369449,0.0145281162403,1.45815865344e-15
158.7,-1.08320317271,-1.08320317271,-2.36369342403,0.0576535316949,0.0576535316949,0.0145338654135,7.73180868062e-16
158.75,-1.08031838211,-1.08031838211,-2.36296659856,0.0577377221859,0.0577377221859,0.0145390607101,4.96506830649e-16
158.8,-1.07742943777,-1.07742943777,-2.36223952726,0.05781967586,0.05781967586,0.0145436982413,4.4408920985e-16
158.85,-1.07453645234,-1.07453645234,-2.3615122381,0.0578993605687,0.0578993605687,0.0145477742818,2.22044604925e-16
158.9,-1.07163954006,-1.07163954006,-2.36078475925,0.057976744599,0.057976744599,0.0145512852753,1.74131677315e-15
158.95,-1.06873881675,-1.06873881675,-2.36005711904,0.0580517967008,0.0580517967008,0.0145542278385,3.92523114671e-16
159,-1.06583439977,-1.06583439977,-2.35932934599,0.0581244861136,0.0581244861136,0.0145565987661,6.66133814775e-16
159.05,-1.06292640802,-1.06292640802,-2.35860146875,0.0581947825933,0.0581947825933,0.0145583950352,5.661048867e-16
159.1,-1.06001496189,-1.06001496189,-2.35787351611,0.058262656439,0.058262656439,0.0145596138098,5.43895982204e-16
159.15,-1.05710018324,-1.05710018324,-2.35714551703,0.0583280785202,0.0583280785202,0.0145602524451,9.55049957679e-16
159.2,-1.05418219537,-1.05418219537,-2.35641750058,0.0583910203027,0.0583910203027,0.0145603084914,6.32924504528e-16
159.25,-1.05126112301,-1.05126112301,-2.35568949593,0.0584514538756,0.0584514538756,0.0145597796986,1.45604384645e-15
159.3,-1.04833709225,-1.04833709225,-2.35496153239,0.0585093519772,0.0585093519772,0.0145586640195,1.07640115874e-15
