T_MeV,sT3_target,sT3_pred,err,residual_over_err,phi_u,phi_d,phi_s,Phi,PhiBar,solve_residual
130,2.77,0.288381507088,0.295,-8.41226607767,-1.96009141056,-1.96009141056,-2.6201273755,0.0467832870326,0.0467832870326,2.81831571876e-16
135,3.13,0.397647310234,0.425,-6.42906515239,-1.9514219895,-1.9514219895,-2.61730033471,0.0603975558002,0.0603975558002,1.53977474607e-12
140,3.58,0.552552991439,0.485,-6.24215878054,-1.93807007756,-1.93807007756,-2.61287834662,0.078546748023,0.078546748023,1.0454965866e-11
145,4.11,0.782030982732,0.535,-6.22050283602,-1.91681330038,-1.91681330038,-2.60575659453,0.103684310037,0.103684310037,7.45489466727e-16
150,4.7,1.14636785414,0.59,-6.02310533197,-1.88092226353,-1.88092226353,-2.59366392375,0.140514813145,0.140514813145,1.26490712951e-15
155,5.34,1.78228348574,0.635,-5.60270317206,-1.81456591645,-1.81456591645,-2.57140524858,0.198211340357,0.198211340357,1.25004386126e-15
160,6,2.92863298644,0.67,-4.58412987098,-1.68394370277,-1.68394370277,-2.52858542791,0.286811502959,0.286811502959,4.54525689433e-16
165,6.66,4.56870607126,0.695,-3.00905601257,-1.45709987722,-1.45709987722,-2.4582220516,0.388656759889,0.388656759889,1.19386349056e-15
170,7.32,6.31257166893,0.705,-1.42897635613,-1.12799376308,-1.12799376308,-2.36637809406,0.474446672778,0.474446672778,6.94968416789e-16
175,7.94,7.75034361562,0.71,-0.267121668141,-0.771470589823,-0.771470589823,-2.27862402631,0.53562067925,0.53562067925,1.04627916209e-15
180,8.53,8.72170933533,0.705,0.271928135214,-0.529839660757,-0.529839660757,-2.21724542142,0.577238209901,0.577238209901,6.5512201767e-12
185,9.08,9.44428972444,0.71,0.513084118928,-0.389387520906,-0.389387520906,-2.1694822138,0.609525874662,0.609525874662,2.89777574799e-14
190,9.6,10.0507635254,0.685,0.658048942247,-0.302345565899,-0.302345565899,-2.12497921506,0.636966757669,0.636966757669,1.81933385214e-14
