T_MeV,phi_u,phi_d,phi_s,Phi,PhiBar,dphi_light_dT_MeV
130,-1.9573435478,-1.9573435478,-2.61927762649,0.0546614805414,0.0546614805414,0.00170695965902
134,-1.94910274645,-1.94910274645,-2.61660164125,0.068169549523,0.068169549523,0.00246683464433
138,-1.93703799437,-1.93703799437,-2.61263808856,0.0858242681558,0.0858242681558,0.00366105832925
142,-1.91873732844,-1.91873732844,-2.60657427264,0.109815486613,0.109815486613,0.00567880912276
146,-1.88933964701,-1.88933964701,-2.59679408612,0.14426163927,0.14426163927,0.00943757936128
150,-1.83823676171,-1.83823676171,-2.57984552888,0.196758504714,0.196758504714,0.0169656322318
154,-1.74707024104,-1.74707024104,-2.55003416889,0.273680251577,0.273680251577,0.0289601050098
158,-1.60900870437,-1.60900870437,-2.50615357674,0.358308283567,0.358308283567,0.039664343334
162,-1.42939917442,-1.42939917442,-2.45175176119,0.430449616896,0.430449616896,0.0505345155013
166,-1.20228263562,-1.20228263562,-2.38796578843,0.48887505486,0.48887505486,0.0628001489564
170,-0.939432354847,-0.939432354847,-2.3209597823,0.53518338443,0.53518338443,0.0655777916022
174,-0.702767791127,-0.702767791127,-2.26408440537,0.570174738649,0.570174738649,0.0508932627199
178,-0.533957919813,-0.533957919813,-2.22031965436,0.597215057761,0.597215057761,0.0343054893103
182,-0.420611263994,-0.420611263994,-2.18359673799,0.619752303054,0.619752303054,0.0232536338302
186,-0.342272487881,-0.342272487881,-2.1493469854,0.639564277131,0.639564277131,0.0164554791298
190,-0.285671826399,-0.285671826399,-2.11532800847,0.657473239256,0.657473239256,0.012155120466
