T_MeV,sT3_target,sT3_pred,err,residual_over_err,phi_u,phi_d,phi_s,Phi,PhiBar,solve_residual
130,2.77,0.657539745648,0.295,-7.16088221814,-1.94197158978,-1.94197158978,-2.61453723625,0.0979313424842,0.0979313424842,7.3691684751e-16
135,3.13,1.13456425909,0.425,-4.69514291979,-1.91229370081,-1.91229370081,-2.60504531127,0.15087877856,0.15087877856,2.6436930729e-15
140,3.58,2.34091799581,0.485,-2.55480825606,-1.83776828231,-1.83776828231,-2.58128328596,0.262136805055,0.262136805055,4.04194478223e-14
145,4.11,4.12691954388,0.535,0.0316253156574,-1.71297857668,-1.71297857668,-2.54194218943,0.38880648264,0.38880648264,2.20144850167e-15
150,4.7,5.68612582958,0.59,1.67139971115,-1.56461780036,-1.56461780036,-2.49620797281,0.474787571805,0.474787571805,9.11598490886e-14
155,5.34,7.10117383842,0.635,2.77350210775,-1.37509015465,-1.37509015465,-2.44050831977,0.538410236149,0.538410236149,5.85230657904e-15
160,6,8.43645583649,0.67,3.63650124849,-1.12596304136,-1.12596304136,-2.37302008732,0.589028635674,0.589028635674,3.51396662082e-15
165,6.66,9.59529030392,0.695,4.22343928622,-0.840744992888,-0.840744992888,-2.30293403483,0.628942749175,0.628942749175,1.25105812701e-12
170,7.32,10.4442093715,0.705,4.43150265467,-0.606137412062,-0.606137412062,-2.2460119047,0.659226417551,0.659226417551,1.35023010101e-13
175,7.94,11.0585690444,0.71,4.39235076671,-0.451673206323,-0.451673206323,-2.20099662843,0.68332102183,0.68332102183,3.74091055468e-14
180,8.53,11.5498408443,0.705,4.28346219047,-0.351590101286,-0.351590101286,-2.16037646561,0.703857111654,0.703857111654,3.2701669207e-14
185,9.08,11.9732223177,0.71,4.07496101082,-0.283408326647,-0.283408326647,-2.12006029837,0.72204108608,0.72204108608,6.5551547479e-14
190,9.6,12.3534094325,0.685,4.01957581381,-0.234487965876,-0.234487965876,-2.07824484835,0.73845283609,0.73845283609,3.74090753006e-14
195,10.07,12.7027378166,0.675,3.90035232093,-0.197864822502,-0.197864822502,-2.03410075711,0.753425012069,0.753425012069,5.17478156526e-14
200,10.5,13.0282082842,0.66,3.83061861245,-0.16951078413,-0.16951078413,-1.98722674674,0.767178495621,0.767178495621,4.66321004505e-14
205,10.9,13.3342224338,0.64,3.80347255278,-0.146963876953,-0.146963876953,-1.93743602807,0.779874753322,0.779874753322,1.64900376035e-14
210,11.27,13.6237564442,0.63,3.73612133999,-0.128642936073,-0.128642936073,-1.88466831648,0.791639114028,0.791639114028,9.4441222225e-14
