T_MeV,phi_u,phi_d,phi_s,Phi,PhiBar,dphi_light_dT_MeV
130,-1.94197158978,-1.94197158978,-2.61453723625,0.0979313424842,0.0979313424842,0.00392824374869
132,-1.93286031507,-1.93286031507,-2.6116284632,0.114955111986,0.114955111986,0.00527497516346
134,-1.92037953589,-1.92037953589,-2.6076343938,0.137093672309,0.137093672309,0.00736900497578
136,-1.90250770315,-1.90250770315,-2.60191304347,0.167070132406,0.167070132406,0.0107859222453
138,-1.87592690943,-1.87592690943,-2.5934217741,0.208609392982,0.208609392982,0.0161020385419
140,-1.83776828231,-1.83776828231,-2.58128328596,0.262136805055,0.262136805055,0.0217893548395
142,-1.79072381112,-1.79072381112,-2.56638938657,0.318052849207,0.318052849207,0.0247910544157
144,-1.73960620079,-1.73960620079,-2.55028856932,0.367223731064,0.367223731064,0.0262626882563
146,-1.68554374544,-1.68554374544,-2.53337866329,0.408640668714,0.408640668714,0.0278843298369
148,-1.6276565792,-1.6276565792,-2.51545485687,0.443975768188,0.443975768188,0.0301152328847
150,-1.56461780036,-1.56461780036,-2.49620797281,0.474787571805,0.474787571805,0.0330425597346
152,-1.49500261025,-1.49500261025,-2.47534415252,0.50217802719,0.50217802719,0.0366946692083
154,-1.41735751353,-1.41735751353,-2.45261955215,0.526893240557,0.526893240557,0.0410657932549
156,-1.33033316678,-1.33033316678,-2.42789053535,0.549428436387,0.549428436387,0.046037289493
158,-1.23306370287,-1.23306370287,-2.4012159333,0.570090032175,0.570090032175,0.0512081531935
160,-1.12596304136,-1.12596304136,-2.37302008732,0.589028635674,0.589028635674,0.0556639006032
162,-1.01185936172,-1.01185936172,-2.34424078325,0.606273449019,0.606273449019,0.0579439105136
164,-0.896551111244,-0.896551111244,-2.31623297029,0.621807262432,0.621807262432,0.0567281856687
166,-0.787303644699,-0.787303644699,-2.29025574462,0.635678998556,0.635678998556,0.0520331621195
168,-0.689755223471,-0.689755223471,-2.26689856534,0.648065736505,0.648065736505,0.0453375116774
170,-0.606137412062,-0.606137412062,-2.2460119047,0.659226417551,0.659226417551,0.0383385242011
172,-0.535918789329,-0.535918789329,-2.22705989849,0.66941709803,0.66941709803,0.0320395296266
174,-0.477289163447,-0.477289163447,-2.20945381492,0.678844383972,0.678844383972,0.0267644796462
176,-0.428196722323,-0.428196722323,-2.19270098689,0.687659953858,0.687659953858,0.0224821307018
178,-0.386800565027,-0.386800565027,-2.17643096482,0.695971796223,0.695971796223,0.0190396785405
180,-0.351590101285,-0.351590101285,-2.16037646561,0.703857111655,0.703857111655,0.0162699279655
182,-0.321369756979,-0.321369756979,-2.14434672487,0.71137228922,0.71137228922,0.0140278289183
184,-0.295204821687,-0.295204821687,-2.12820510038,0.718559721285,0.718559721285,0.0121975602262
186,-0.272365085715,-0.272365085715,-2.11185272766,0.725452265543,0.725452265543,0.0106896392467
188,-0.252277293657,-0.252277293657,-2.09521719734,0.732076143069,0.732076143069,0.0094357102596
190,-0.234487965876,-0.234487965876,-2.07824484835,0.73845283609,0.73845283609,0.00838360151402
