T_MeV,phi_u,phi_d,phi_s,Phi,PhiBar,dphi_light_dT_MeV
130,-1.96009141056,-1.96009141056,-2.6201273755,0.0467832870326,0.0467832870326,0.00139636794147
134,-1.9534604371,-1.9534604371,-2.61796917232,0.0573671767239,0.0573671767239,0.0019526691225
138,-1.94413126491,-1.94413126491,-2.61489315025,0.0706190008232,0.0706190008232,0.00276540876422
142,-1.9307789219,-1.9307789219,-2.61044323095,0.0875693640401,0.0875693640401,0.00400183690774
146,-1.91112597389,-1.91112597389,-2.60384282818,0.109902361711,0.109902361711,0.00599273849531
150,-1.88092226353,-1.88092226353,-2.59366392375,0.140514813145,0.140514813145,0.00944666732681
154,-1.83161448265,-1.83161448265,-2.5770989204,0.184381057485,0.184381057485,0.0158965998976
158,-1.74662943386,-1.74662943386,-2.54894546338,0.247796487236,0.247796487236,0.0275734951222
162,-1.60544162768,-1.60544162768,-2.50362516833,0.328126164731,0.328126164731,0.043293377595
166,-1.39927896496,-1.39927896496,-2.44118615917,0.407569246546,0.407569246546,0.0599540806951
170,-1.12799376308,-1.12799376308,-2.36637809406,0.474446672778,0.474446672778,0.0741061571509
174,-0.83607761333,-0.83607761333,-2.2940482637,0.525330941961,0.525330941961,0.067182124453
178,-0.611038876104,-0.611038876104,-2.23923618219,0.562154866079,0.562154866079,0.0453210076187
182,-0.464758661258,-0.464758661258,-2.1973034437,0.590914306383,0.590914306383,0.0291669474125
186,-0.368776413386,-0.368776413386,-2.16050078456,0.615329047522,0.615329047522,0.0196715852768
190,-0.302345565899,-0.302345565899,-2.12497921506,0.636966757669,0.636966757669,0.0140029303366
