T_MeV,sT3_target,sT3_pred,err,residual_over_err,phi_u,phi_d,phi_s,Phi,PhiBar,solve_residual
130,2.77,0.170223112734,0.295,-8.81280300768,-1.96640890629,-1.96640890629,-2.6220837124,0.0285029210782,0.0285029210782,2.79590357703e-16
135,3.13,0.224204023674,0.425,-6.83716700312,-1.96171563135,-1.96171563135,-2.62054947828,0.0354174109112,0.0354174109112,5.05186673153e-15
140,3.58,0.293453585828,0.485,-6.77638435912,-1.95506267142,-1.95506267142,-2.6183339347,0.0438527086276,0.0438527086276,2.06431102108e-14
145,4.11,0.382835184535,0.535,-6.96666320648,-1.94563445238,-1.94563445238,-2.6151421208,0.054215903994,0.054215903994,8.6006511028e-14
150,4.7,0.4995270514,0.59,-7.11944567559,-1.93220111153,-1.93220111153,-2.61053047961,0.0670875473357,0.0670875473357,3.61568796293e-13
155,5.34,0.654673971293,0.635,-7.37846618694,-1.91281637089,-1.91281637089,-2.60380311896,0.0833308023415,0.0833308023415,1.55405291526e-12
160,6,0.866652763462,0.67,-7.66171229334,-1.88419838987,-1.88419838987,-2.59380466973,0.104291760509,0.104291760509,6.97050092099e-12
165,6.66,1.16799149748,0.695,-7.90217050723,-1.84033632889,-1.84033632889,-2.57847023421,0.132180892854,0.132180892854,1.03893300793e-15
170,7.32,1.62084737464,0.705,-8.08390443314,-1.76900866249,-1.76900866249,-2.55376124036,0.17078437973,0.17078437973,9.69504810163e-16
175,7.94,2.3497740643,0.71,-7.87355765592,-1.64234050215,-1.64234050215,-2.51107955731,0.226397799721,0.226397799721,2.42147793829e-15
180,8.53,3.56732746533,0.705,-7.03925182223,-1.39447263246,-1.39447263246,-2.43309515146,0.305684722389,0.305684722389,3.58696752954e-12
185,9.08,5.23295054039,0.71,-5.41837952058,-0.959235460145,-0.959235460145,-2.31451766323,0.39539974687,0.39539974687,1.01098442215e-11
190,9.6,6.50182176695,0.685,-4.52288793145,-0.592243546587,-0.592243546587,-2.2238028218,0.458219742201,0.458219742201,1.08028642241e-15
195,10.07,7.3760574453,0.675,-3.99102600696,-0.404209727943,-0.404209727943,-2.16457917898,0.502416957037,0.502416957037,1.67957742929e-12
200,10.5,8.10774464377,0.66,-3.62462932761,-0.300464800052,-0.300464800052,-2.11281836991,0.539365962587,0.539365962587,6.32030697222e-15
205,10.9,8.76790669134,0.64,-3.33139579477,-0.235802222069,-0.235802222069,-2.06120170515,0.572009391726,0.572009391726,4.17464529397e-15
